"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:[word=""cold""][word=""day""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2014-01-02","dead on arrival. </s><s> Why, you ask? </s><s> Because it ran Android. </s><s> And because Nokia is now owned by Microsoft. </s><s> We imagined it''d be a","cold day","in hell before we ever saw Nokia use Android for one of their handsets again, which had everyone writing the Normandy off"
"2014-01-03","across the board but wind chills were the real issue this AM. </s><s> Many were in the single digits or low teens, making for a very","cold day",". </s><s> So far we''re at least all at 20F but it won''t be a warm day today, even with full sun. </s><s> We''ll get to around 34F with wind"
"2014-01-08",", but like a true Winnipegger, I forged ahead to the bus depot. </s><s> Now, you''d think that giving away hot tasty beverages on a","cold day","would be as easy as the Bombers giving away touchdowns during a regular season game, but it turns out it''s not. </s><s> You see, we"
"2014-01-08","day laborers, who often live in the shadows of society, are sometimes reluctant to seek help. </s><s> On yet another freezing","cold day",", the help is coming to them. </s><s> LES (ART)ISTS Spring/Summer 2014 Lookbook </s><s> Our generation features very few greats who"
"2014-01-15","details. </s><s> ''I wasn''t doing anything wrong, so I turned away and walked off. </s><s> I know what is normal and a child playing out on a","cold day","is not unhealthy in any way. </s><s> ''We had wet suits stolen from our surf lodge and never even bothered reporting that to the"
"2014-01-17","in the changing room at the end. </s><s> So it''s not just a way of keep clean, it''s also a great to get really nice and warm on a","cold day","! </s><s> And if it''s not indiscreet to ask ... your toilet arrangements? </s><s> I''ve built a fine compost loo with a lovely view, made"
"2014-01-17","of Determination and Inspiration </s><s> When Theresa was found, it was evident that her care had been neglected. </s><s> On a very","cold day","in November, a small white dog was found shivering in an Oak Park alley. </s><s> She was brought to the Animal Care League, where"
"2014-01-28","of the Potomac. </s><s> ""Also, a three-minute bike ride is preferred by many to a 15 minute walk, or a 10 minute wait for a bus, on a","cold day","."" </s><s> He said some people who ride bikes regularly turn to Bikeshare when the weather gets nasty. </s><s> ""Many people like to save"
"2014-01-30","display on the left, where cold cuts and other food can be ordered, along with a dozen tall seats at the counter. </s><s> On the","cold day","when John, Pat, John and I stopped in, the seven or so tables on the right were occupied from the back to the front, because"
"2014-02-25","to fishing, but he is looking forward to doing some shooting. </s><s> He recalled sitting in a duck blind with his father on a very","cold day","when he was 7 years old. </s><s> ""i stayed out there and learned to love hunting,"" Watson said. </s><s> ""One of the things that drives me is"
