"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:alemma,[word=""black""][word=""jacket""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2014-01-02","sheer sleeves and a pair of strappy black heels, with her finger nails painted white. </s><s> Andrew was more casual in a thick","black jacket","and black jeans. </s><s> The Fast and the Furious star was seen about a week ago leaving the same restaurant, also dressed in"
"2014-01-10","and Infrastructure spend was mainly on accommodation and travel, although it did include items such as a woman''s","black jacket","and a man''s fleece. </s><s> Mr Lamont added: ""Nearly every department in the council has had to see cost cutting exercises"
"2014-01-16","Wednesday - amid fresh reports that her longtime partner Johnny Depp is engaged to Amber Heard. </s><s> John wore a more formal","black jacket","and white shirt but dressed the look down with green cargo trousers and a grey wrap. </s><s> The stylist to the stars'' long brown"
"2014-01-28","and 6-feet-tall, police said in media news reports. </s><s> He has short, cropped black hair and was clothed in black jeans and a","black jacket","at the time of the attack. </s><s> He fled the scene in a gray, four door Nissan with Mississippi license plate, KAT-397. </s><s> Gener"
"2014-01-28","like something you''d wear to the beach than a red carpet. </s><s> Trunfio paired the lingerie-exposing outfit with a feathered","black jacket",", gold heels and leather clutch. </s><s> The 29-year-old''s boyfriend, guitarist Gary Clark Jr., was nominated for two awards"
"2014-02-07","got astronomical."" </s><s> - the stage jacket Paul McCartney wore during the band''s 1965 concert at Shea Stadium; </s><s> - the long","black jacket","worn by Ringo Starr on the cover of Abbey Road; and </s><s> - a pair of John Lennon''s original prescription ""granny glasses"" from"
"2014-02-12",". </s><s> The second individual was described as 5-foot, 8-inches to 5-foot, 10-inches in height, 160-180 pounds, wearing a","black jacket",", black hood, blue jeans and brown boots. </s><s> The third individual was described as 6-foot, 2-inches to 6-foot, 4-inches in"
"2014-02-20","capacity of a 10-year-old, police said. </s><s> ""That is the main concern with him,"" Budreau said. </s><s> He is reportedly wearing a","black jacket","with an orange liner. </s><s> No additional clothing description was available. </s><s> Authorities said they are asking the public"
"2014-03-05","Center wearing a ""blue uniform and black body armor"" and ""carrying a semi-automatic pistol on his right hip, under a","black jacket",","" a statement from the Cook County Sheriff''s office said. </s><s> The Daley Center houses civil courtrooms and other"
"2014-03-06",". </s><s> Jurors sent out a note just after 9:30 a.m. that they had reached a verdict on both charges. </s><s> Macareno, dressed in a","black jacket",", yellow tie and gray slacks, showed no reaction when 105th District Judge Angelica Hernandez read the jury''s verdicts"
