"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:[word=""coat""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2014-01-31","plays Mary Margaret/Snow White in the fairytale re-imagining - donned an eye-catching bright red knee-length velvet","coat","over grey tights, a matching shirt and black wedge-heel ankle boots during the scene, along with warm grey leather"
"2014-02-03",". </s><s> Instead BuzzFeed -- and other non-brands -- tweeted out the similarity between NFL legend Joe Namath sporting a fur","coat","and a monkey found wearing the same at one of the retailer''s Canadian stores. </s><s> And Buffalo Wild Wings earns an honorable"
"2014-03-04","else, it was too long and too wide at the back. </s><s> The before and after photos show what a big change this made in the how the","coat","fits! </s><s> The extra fabric there caused slouched and added bulk to her waist, but after the alteration the fit is smooth and"
"2014-03-05","Watson: From LAX to London </s><s> Joined by a bodyguard, the ""Perks of Being a Wallflower"" babe looked snazzy in a khaki trench","coat","as she scurried to her chauffeured car. </s><s> Emma was in LA to attend the 86th Academy Awards, and she defended ""Harry Potter"""
"2014-03-22","Heights where he lives, have mezuzahs in the doorway, and then they''re covered over by coats of paint, and that each","coat","of paint, and the mezuzah, represents the different immigrant groups that have come in and lived in the house. </s><s> And I"
"2014-05-19",": Priano favors R+Co''s Dallas Thickening Shampoo, because it has ""thickening agents that lay on top of the hair, and","coat","the cuticle."" </s><s> Even after one wash, hair goes from flat to full. </s><s> If you have oily hair or flaky scalp: Bid greasy locks"
"2014-05-24",", support, and generosity. </s><s> Before leaving for India, Encarnacion went to a police firing range and put the bullets in a","coat","pocket, according to New York City police. </s><s> He packed the coat for the trip, forgetting that the ammunition was there,"
"2014-06-11","Secretary William Hague with UN ambassador and Hollywood star Angelina Jolie. </s><s> Wearing a colourful dress and camel","coat",", Bianca looked like your average commuter as she travelled underground. </s><s> Her decision to take the Tube may have been"
"2014-07-11","outfit on the day, turning up in a matching dress and bag from high street store Oasis. </s><s> She teamed it with a marble-effect","coat","and a pair of nude Kurt Geiger high heels. </s><s> Laura has been living the high life lately, enjoying a string of fun events. </s><s> She"
"2014-07-13","flour (about 4 at a time). </s><s> Remove pieces from bag, dip in egg mixture once more, then return to seasoned flour. </s><s> Shake to","coat","well. </s><s> Place coated chicken on a wire rack for a few minutes to set coating. </s><s> Add about one-third of the chicken pieces to"
"2014-08-09","with their song If I Had a Million Dollars. </s><s> They sang about buying things like a house, a ânice Reliant automobile,â a fur","coat","â"" âbut not a real fur coat, thatâs cruelâ â"" an exotic pet and some art, âa Picasso or a Garfunkelâ. </s><s> Now, imagine what you"
"2014-09-20","mean portability is not an issue. </s><s> They collapse in on themselves and can easily be stored in a small bag or large","coat","pocket. </s><s> A neoprene bag comes bundled in to protect them during transit. </s><s> Although the headband is slender, it has been"
"2014-10-10","cold of space, but cool against the heat of the Sun - think of travelling from Antarctica to Africa without taking your","coat","off. </s><s> They have to make electricity for themselves. </s><s> They have to be able to work out what way they are facing. </s><s> They need to"
"2014-12-09","), spoke to Kate at the reception. </s><s> Kate was wearing black skinny jeans topped with a tweedy black and blue Tory Burch","coat","sprinkled with silvery bits, plus high heels. </s><s> Will got laughs when he joked that he kept his speech at the reception"
