"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:[word=""black""][word=""coat""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2014-01-02","the day with a friend''s newborn baby. </s><s> To prove it, she even shared a picture of herself with the infant. </s><s> Wearing a long,","black coat","with her hair groomed into a retro style, the former Coronation Street actress can be seen gazing at the child,"
"2014-01-06","wore gloves and face masks. </s><s> One person was six feet tall to six feet two inches tall, heavy build, and wearing a large","black coat",", black ski mask and black pants. </s><s> The other person was shorter with a medium build and wore a gray hooded sweat shirt, dark"
"2014-01-31","of the schnauzer breeds, climbed 13 places in the rankings. </s><s> The keeshond, a medium-size dog with a plush silver and","black coat",", scrambled up 17 places. </s><s> The AKC announced its rankings in advance of next month''s Westminster Kennel Club dog show. </s>"
"2014-02-01","don''t have a suspect in custody, but they do describe him as a black man between 20 to 25 years old wearing tan pants, a","black coat","and black shoes or boots. </s><s> Michigan State University students who live in the area say they heard arguing before the"
"2014-02-18","she needed a very substantial thing around her to make her more fierce. </s><s> I like that scene very much. </s><s> Was that beautiful","black coat","with the leopard fur collar vintage, the one Ip''s first wife wore in the family photograph? </s><s> Yes, the collar of it, the fur"
"2014-02-20","/grey receding hair and brown eyes. </s><s> He was last seen wearing a grey long-sleeved top, blue body warmer, blue jeans,","black coat","and black shoes. </s><s> PC Vikki Leech said: ""We are becoming concerned for Spencer''s welfare and are asking if anyone has seen"
"2014-02-22","of furniture shopping in Angel, Islington, and synchronised with matching thick-rimmed glasses. </s><s> Wearing a long,","black coat",", with charcoal grey, cropped trousers and black ankle boots the ever-pouting star looked low-fi stylish as she"
"2014-03-04","medium build, 5ft 2in, with shoulder length dark brown hair. </s><s> She was last seen wearing grey/black leggings, a green and","black coat","and white shoes. </s><s> Police spokesman Det Insp Mark Baxter, said: ""Cailey Anne told her mother she was meeting a friend and"
"2014-03-04","and musical partner on Palmer''s new CD, appropriately titled An Evening With Neil Gaiman and Amanda Palmer. </s><s> AP: A","black coat","I bought at a thrift shop in New York. </s><s> The black pants came from Dizingof in Melbourne. </s><s> The boots are from Fluevog in"
"2014-03-29","a Spider-Man hat urinates on the sidewalk. </s><s> A security guard chides him; the boy and his parents smile back. </s><s> An adult in a","black coat","threatens another with a knife. </s><s> Lopez''s acolytes, meanwhile, assemble inside for six hours every Saturday, wearing"
"2014-04-05","Coast chill with a cream coloured trench coat slung over her shoulders, whilst her DJ husband did the same with his own","black coat",". </s><s> After striking a pose on the bright yellow backdrop featuring the many animated characters from the Nickelodon"
"2014-05-21","Staffordshire bull terrier Peppa was taken from their garden in Hoole between 5-6pm on Sunday May 18. </s><s> Peppa has a","black coat","with bits of brindle coming through, a white mark under her neck and bits of white on her paws. </s><s> Lorren said: ""Peppa is from"
"2014-05-29",", in the Cork city centre area, she was wearing a white top, pink jeans with white splashes on the front, sandals, and a","black coat","with fur on the hood. </s><s> Rangers down defenceman against Habs entering Game 6 </s><s> ""Doesn''t matter,"" the New York Rangers coach"
"2014-07-15","characteristics of the British and Continental breeds certainly pays off in South Texas."" </s><s> The study found that","black coat","color was discounted due to cattle with black hides being less adapted to the hot climate in South Texas. </s><s> ""However, the"
"2014-07-18","of their working hours. </s><s> A special uniform for judges by reviewing the current uniform (daura, suruwal, black cap and","black coat",") and certain working norms for registrar, shrestedar and section heads in order to make their service more effective"
"2014-10-10","his date his rarely seen wife, Joanne Tucker, who he tied the knot with in secret about a year ago. </s><s> The Girls star sported a","black coat","over a pale blue dress shirt with dark trousers as a make-up free Joanne donned a shiny sleeveless black dress. </s><s> The"
"2014-10-15",". </s><s> Walking up to the church, every woman I encountered had on a little black dress and black heels. </s><s> Luckily I had on a","black coat","to cover my fashion disaster. </s><s> Yes, the men all wore tuxes but the women were dressed... </s><s> Poway Symphony Orchestra"
"2014-10-31","reports, she hit the Sunset Strip in L.A. Pictures show her talking on the phone and walking down the street in a puffy","black coat",", black leggings, and sunglasses. </s><s> At one point, TMZ says, she went to a diner, where she noshed on fried chicken, salmon,"
