"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:alemma,[word=""market""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2014-01-04","). </s><s> First, value-oriented buyers tend to gravitate towards P/Es of 10 and P/Bs of 1.5. </s><s> Secondly, unlike the bulk of broad","market","benchmarks that have been regularly eclipsing record highs, fertilizer producers as well as equipment makers are"
"2014-01-24","this report or in our other reports will be successfully commercialized and their use reimbursed, or will enhance our","market","value; that our To Go Brands business can be successfully integrated and expanded; that new product opportunities or"
"2014-02-03","don''t think about the market the way libertarians claim to think about the market. </s><s> The classic libertarian view of the","market","is that we have a huge number of people in the market actively competing to buy and sell goods and services. </s><s> They"
"2014-03-18","are made for men... </s><s> Please note that I am ok with wearing those watches, however, I am sure that good portion of the female","market","would rather have access to different options. </s><s> Reustle, Smasne top SavorNW awards </s><s> Winners have been announced from"
"2014-03-20","to be close to launch. </s><s> This is clearly the start of Microsoft''s battle for the online synchronised electronic notebook","market","which is currently led by players such as Evernote. </s><s> Unlike the paid-for version of OneNote, which still exists, the"
"2014-03-24","get their way. </s><s> But they should be diligent not to damage marijuana''s reputation in the process. </s><s> Don''t forget, the","market","for Canadian licensed producers does not stop at the border. </s><s> Don''t forget about the new export laws. </s><s> The market may be"
"2014-03-30","of billions of pounds. </s><s> Itfiercely rejects claims that it encourages the selling of its own products on the black","market",", pointing out that it funds a range of counter-smuggling initiatives. </s><s> Official customs figures published earlier"
"2014-04-25","Great Recession. </s><s> ""Three years ago, it was really hard for recent grads to even find an entry-level position because the","market","was inundated with people with more experience,"" says Aaron Ignac, assistant director of operations with Western''s"
"2014-07-10","opportunity with two great golf courses, an opportunity that, you know, I thought we could really tap into the Chicago","market","and this place the home for, you know, Chicago''s golf course. </s><s> And that''s what we did. </s><s> That''s kind of what attracted me to"
"2014-07-10","media outlets. </s><s> He said Japanese products, including automobiles, have been long penetrating into the Indonesian","market",", while Indonesian energy products have long been exported to Japan, showing how important it is to keep maintaining"
"2014-08-08","Mr. Dimitrov, Bulgaria might have small trade with Russia but it is LOSING something that it should not be losing. </s><s> Our","market","share with Russia and the Eurasian Union will shrink and we will LOSE valuable emerging markets to trade with. </s><s> Believe"
